OBJECTID,Station_ID,Sample_Year,Waterbody_Name,Sample_Type,Fish_Species,Municipality,Subregional_Basin_Code,Sample_ID,Quantity,County,x,y
10374,14384,1988,Pequabuck River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",PLYMOUTH,4315,143841988,1,Litchfield,-73.0217029999999,41.6975340000001
10402,14390,2008,Pequabuck River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BRISTOL,4315,143902008,1,Hartford,-72.9619,41.6742
10608,14396,2018,Pine Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",HADDAM,4709,143962018,1,Middlesex,-72.4952,41.5079000000001
10634,14400,2000,Pocotopaug Creek,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",EAST HAMPTON,4709,144002000,1,Middlesex,-72.5069,41.5650000000001
10663,14402,1988,Poland River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",PLYMOUTH,4313,144021988,8,Litchfield,-73.0045,41.6912
10670,14402,2008,Poland River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",PLYMOUTH,4313,144022008,5,Litchfield,-73.0045,41.6912
10678,14402,2012,Poland River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",PLYMOUTH,4313,144022012,23,Litchfield,-73.0045,41.6912
10688,14402,2019,Poland River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",PLYMOUTH,4313,144022019,2,Litchfield,-73.0045,41.6912
10694,14403,2010,Pomperaug River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",WOODBURY,6800,144032010,3,Litchfield,-73.2164999999999,41.5491000000001
10792,14405,1991,Pootatuck River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NEWTOWN,6020,144051991,6,Fairfield,-73.2819,41.4228000000001
10806,14409,2011,Pootatuck River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NEWTOWN,6020,144092011,1,Fairfield,-73.2823999999999,41.4162000000001
10815,14409,2012,Pootatuck River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NEWTOWN,6020,144092012,1,Fairfield,-73.2823999999999,41.4162000000001
10894,14413,1990,Quinnipiac River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",MERIDEN,5200,144131990,4,New Haven,-72.8562719999999,41.528244
10921,14413,2007,Quinnipiac River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",MERIDEN,5200,144132007,4,New Haven,-72.8562719999999,41.528244
11008,14417,2012,Quinnipiac River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SOUTHINGTON,5200,144172012,14,Hartford,-72.891,41.5878000000001
11152,14436,2014,Salmon Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",GLASTONBURY,4006,144362014,1,Hartford,-72.602,41.7191
11160,14436,2015,Salmon Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",GLASTONBURY,4006,144362015,1,Hartford,-72.602,41.7191
11172,14437,2000,Salmon Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",GLASTONBURY,4006,144372000,1,Hartford,-72.5851,41.7167000000001
11182,14438,1989,Salmon Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",GLASTONBURY,4006,144381989,212,Hartford,-72.5559,41.7211
11191,14438,2012,Salmon Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",GLASTONBURY,4006,144382012,32,Hartford,-72.5559,41.7211
11196,14438,2019,Salmon Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",GLASTONBURY,4006,144382019,82,Hartford,-72.5559,41.7211
11198,14439,2011,Salmon Creek (Salmon Kill),Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SALISBURY,6007,144392011,2,Litchfield,-73.3908,41.9337
11229,14440,1989,Salmon River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",EAST HAMPTON,4700,144401989,6,Middlesex,-72.4496,41.5526
11248,14441,2006,Salmon River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",COLCHESTER,4700,144412006,14,New London,-72.4294,41.5742000000001
11300,14442,2005,Sandy Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",COLEBROOK,4304,144422005,2,Litchfield,-73.0406,41.974
11320,14442,2010,Sandy Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",COLEBROOK,4304,144422010,4,Litchfield,-73.0406,41.974
11338,14442,2015,Sandy Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",COLEBROOK,4304,144422015,5,Litchfield,-73.0406,41.974
11344,14442,2017,Sandy Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",COLEBROOK,4304,144422017,1,Litchfield,-73.0406,41.974
11357,14444,1990,Saugatuck River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",REDDING,7200,144441990,1,Fairfield,-73.3948,41.2945
11415,14444,2011,Saugatuck River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",REDDING,7200,144442011,1,Fairfield,-73.3948,41.2945
11651,14453,1991,Spruce Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NAUGATUCK,6900,144531991,41,New Haven,-73.0626,41.4562000000001
11656,14453,2006,Spruce Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NAUGATUCK,6900,144532006,5,New Haven,-73.0626,41.4562000000001
11666,14453,2023,Spruce Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NAUGATUCK,6900,144532023,2,New Haven,-73.0626,41.4562000000001
11922,14470,2004,Tankerhoosen River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",VERNON,4503,144702004,14,Tolland,-72.4639999999999,41.8272000000001
11932,14470,2011,Tankerhoosen River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",VERNON,4503,144702011,15,Tolland,-72.4639999999999,41.8272000000001
11939,14470,2013,Tankerhoosen River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",VERNON,4503,144702013,2,Tolland,-72.4639999999999,41.8272000000001
11946,14470,2016,Tankerhoosen River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",VERNON,4503,144702016,5,Tolland,-72.4639999999999,41.8272000000001
